Date,Product,Category,Price,Quantity
2023-01-01,Product A,Electronics,54,12
2023-01-02,Product A,Electronics,57,19
2023-01-03,Product A,Clothing,74,14
2023-01-04,Product A,Electronics,77,2
2023-01-05,Product C,Clothing,77,7
2023-01-06,Product C,Books,19,11
2023-01-07,Product A,Books,93,17
2023-01-08,Product B,Electronics,31,17
2023-01-09,Product A,Clothing,46,4
2023-01-10,Product B,Books,97,18
2023-01-11,Product C,Clothing,80,11
2023-01-12,Product C,Clothing,98,10
2023-01-13,Product B,Clothing,98,13
2023-01-14,Product A,Electronics,22,14
2023-01-15,Product A,Books,68,7
2023-01-16,Product B,Electronics,75,7
2023-01-17,Product A,Clothing,49,8
2023-01-18,Product A,Books,97,9
2023-01-19,Product C,Electronics,56,14
2023-01-20,Product B,Books,98,8
2023-01-21,Product A,Electronics,91,17
2023-01-22,Product C,Clothing,47,16
2023-01-23,Product A,Books,35,9
2023-01-24,Product A,Clothing,87,4
2023-01-25,Product B,Clothing,82,7
2023-01-26,Product A,Books,19,18
2023-01-27,Product C,Books,30,8
2023-01-28,Product A,Electronics,90,3
2023-01-29,Product B,Electronics,79,17
2023-01-30,Product A,Clothing,89,19
2023-01-31,Product A,Electronics,57,14
2023-02-01,Product B,Books,74,5
2023-02-02,Product A,Books,92,5
2023-02-03,Product A,Books,98,13
2023-02-04,Product B,Clothing,59,18
2023-02-05,Product A,Electronics,39,2
2023-02-06,Product C,Electronics,29,6
2023-02-07,Product A,Electronics,29,2
2023-02-08,Product A,Electronics,24,8
2023-02-09,Product B,Electronics,49,10
2023-02-10,Product B,Electronics,42,18
2023-02-11,Product B,Electronics,75,10
2023-02-12,Product B,Clothing,19,1
2023-02-13,Product A,Electronics,67,5
2023-02-14,Product C,Electronics,42,18
2023-02-15,Product C,Electronics,41,17
2023-02-16,Product C,Clothing,84,4
2023-02-17,Product B,Electronics,33,11
2023-02-18,Product A,Clothing,45,2
2023-02-19,Product A,Clothing,85,5
2023-02-20,Product A,Clothing,65,5
2023-02-21,Product C,Books,38,17
2023-02-22,Product C,Electronics,44,17
2023-02-23,Product B,Books,10,16
2023-02-24,Product C,Electronics,10,11
2023-02-25,Product C,Clothing,46,14
2023-02-26,Product C,Clothing,63,9
2023-02-27,Product C,Electronics,15,12
2023-02-28,Product A,Electronics,48,7
2023-03-01,Product C,Clothing,27,10
2023-03-02,Product C,Electronics,89,16
2023-03-03,Product C,Electronics,14,4
2023-03-04,Product C,Books,52,13
2023-03-05,Product C,Clothing,68,19
2023-03-06,Product C,Books,41,18
2023-03-07,Product B,Clothing,11,11
2023-03-08,Product B,Books,75,3
2023-03-09,Product A,Electronics,51,2
2023-03-10,Product B,Electronics,67,12
2023-03-11,Product A,Clothing,45,4
2023-03-12,Product B,Clothing,21,13
2023-03-13,Product B,Clothing,56,5
2023-03-14,Product B,Books,92,2
2023-03-15,Product A,Clothing,10,18
2023-03-16,Product A,Electronics,24,1
2023-03-17,Product B,Clothing,63,8
2023-03-18,Product B,Electronics,22,5
2023-03-19,Product A,Books,52,4
2023-03-20,Product A,Electronics,94,6
2023-03-21,Product B,Electronics,85,7
2023-03-22,Product B,Books,78,4
2023-03-23,Product B,Electronics,16,3
2023-03-24,Product B,Books,78,9
2023-03-25,Product A,Books,57,2
2023-03-26,Product C,Books,13,5
2023-03-27,Product A,Electronics,86,1
2023-03-28,Product A,Books,62,14
2023-03-29,Product C,Clothing,88,10
2023-03-30,Product C,Electronics,25,6
2023-03-31,Product A,Electronics,30,2
2023-04-01,Product A,Clothing,68,8
2023-04-02,Product C,Clothing,33,9
2023-04-03,Product C,Clothing,89,8
2023-04-04,Product C,Clothing,23,4
2023-04-05,Product A,Books,95,13
2023-04-06,Product B,Electronics,58,4
2023-04-07,Product C,Electronics,59,7
2023-04-08,Product B,Clothing,79,8
2023-04-09,Product B,Books,51,1
2023-04-10,Product A,Books,45,6
2023-04-11,Product A,Clothing,74,12
2023-04-12,Product B,Clothing,79,10
2023-04-13,Product A,Clothing,10,8
2023-04-14,Product C,Clothing,60,6
2023-04-15,Product C,Books,46,9
2023-04-16,Product B,Electronics,44,12
2023-04-17,Product B,Books,58,15
2023-04-18,Product C,Electronics,13,1
2023-04-19,Product C,Electronics,52,9
2023-04-20,Product B,Electronics,87,7
2023-04-21,Product C,Books,31,11
2023-04-22,Product A,Clothing,83,3
2023-04-23,Product A,Clothing,10,1
2023-04-24,Product B,Books,20,15
2023-04-25,Product A,Books,53,1
2023-04-26,Product B,Electronics,68,7
2023-04-27,Product A,Books,33,2
2023-04-28,Product A,Electronics,69,13
2023-04-29,Product B,Books,12,19
2023-04-30,Product C,Clothing,72,14
2023-05-01,Product B,Clothing,45,10
2023-05-02,Product B,Clothing,77,5
2023-05-03,Product C,Books,92,18
2023-05-04,Product A,Electronics,56,4
2023-05-05,Product B,Clothing,30,3
2023-05-06,Product B,Electronics,91,14
2023-05-07,Product B,Clothing,60,16
2023-05-08,Product A,Electronics,37,5
2023-05-09,Product A,Books,24,10
2023-05-10,Product C,Books,51,5
2023-05-11,Product B,Electronics,68,18
2023-05-12,Product C,Books,75,19
2023-05-13,Product C,Electronics,46,14
2023-05-14,Product B,Books,20,14
2023-05-15,Product B,Books,96,3
2023-05-16,Product C,Electronics,53,4
2023-05-17,Product A,Clothing,21,10
2023-05-18,Product C,Clothing,12,13
2023-05-19,Product A,Clothing,61,16
2023-05-20,Product A,Electronics,90,3
2023-05-21,Product C,Clothing,42,7
2023-05-22,Product B,Books,64,15
2023-05-23,Product C,Clothing,10,17
2023-05-24,Product C,Books,48,16
2023-05-25,Product A,Clothing,29,9
2023-05-26,Product C,Clothing,56,1
2023-05-27,Product B,Electronics,52,11
2023-05-28,Product C,Books,66,12
2023-05-29,Product C,Books,70,14
2023-05-30,Product A,Books,87,8
2023-05-31,Product B,Clothing,40,7
2023-06-01,Product B,Clothing,34,14
2023-06-02,Product A,Electronics,12,16
2023-06-03,Product B,Electronics,13,10
2023-06-04,Product B,Electronics,23,7
2023-06-05,Product C,Clothing,50,12
2023-06-06,Product A,Electronics,82,19
2023-06-07,Product B,Books,29,8
2023-06-08,Product A,Electronics,82,2
2023-06-09,Product C,Clothing,36,10
2023-06-10,Product B,Electronics,76,3
2023-06-11,Product A,Books,62,19
2023-06-12,Product B,Books,77,15
2023-06-13,Product A,Books,71,6
2023-06-14,Product C,Clothing,24,5
2023-06-15,Product C,Books,14,19
2023-06-16,Product B,Electronics,77,15
2023-06-17,Product B,Electronics,21,19
2023-06-18,Product A,Books,96,2
2023-06-19,Product B,Clothing,87,13
2023-06-20,Product C,Books,85,1
2023-06-21,Product C,Electronics,66,10
2023-06-22,Product C,Electronics,26,17
2023-06-23,Product B,Books,34,3
2023-06-24,Product A,Clothing,39,9
2023-06-25,Product C,Electronics,31,11
2023-06-26,Product C,Clothing,35,17
2023-06-27,Product B,Books,90,2
2023-06-28,Product B,Electronics,70,1
2023-06-29,Product B,Electronics,71,6
2023-06-30,Product B,Electronics,93,3
2023-07-01,Product A,Electronics,43,16
2023-07-02,Product B,Electronics,42,4
2023-07-03,Product A,Electronics,80,15
2023-07-04,Product A,Books,95,6
2023-07-05,Product C,Electronics,41,12
2023-07-06,Product C,Electronics,23,7
2023-07-07,Product B,Books,81,7
2023-07-08,Product C,Electronics,66,7
2023-07-09,Product A,Electronics,34,3
2023-07-10,Product B,Books,89,7
2023-07-11,Product B,Electronics,51,6
2023-07-12,Product B,Electronics,28,6
2023-07-13,Product B,Books,50,14
2023-07-14,Product C,Electronics,64,10
2023-07-15,Product B,Books,89,5
2023-07-16,Product A,Electronics,21,14
2023-07-17,Product B,Electronics,48,18
2023-07-18,Product C,Books,11,4
2023-07-19,Product A,Clothing,54,14
2023-07-20,Product C,Books,98,9
2023-07-21,Product C,Clothing,34,14
2023-07-22,Product C,Clothing,77,6
2023-07-23,Product C,Electronics,92,17
2023-07-24,Product B,Books,13,15
2023-07-25,Product C,Clothing,86,6
2023-07-26,Product B,Clothing,45,2
2023-07-27,Product B,Clothing,96,6
2023-07-28,Product C,Clothing,71,7
2023-07-29,Product A,Books,79,13
2023-07-30,Product C,Electronics,97,11
2023-07-31,Product C,Electronics,53,15
2023-08-01,Product B,Clothing,42,9
2023-08-02,Product B,Electronics,21,8
2023-08-03,Product B,Clothing,94,14
2023-08-04,Product B,Electronics,20,6
2023-08-05,Product C,Electronics,64,16
2023-08-06,Product A,Books,47,11
2023-08-07,Product A,Clothing,38,4
2023-08-08,Product A,Books,12,11
2023-08-09,Product A,Electronics,37,19
2023-08-10,Product B,Clothing,93,4
2023-08-11,Product C,Clothing,99,15
2023-08-12,Product B,Clothing,33,19
2023-08-13,Product B,Clothing,63,6
2023-08-14,Product C,Clothing,61,5
2023-08-15,Product C,Clothing,56,18
2023-08-16,Product C,Electronics,30,6
2023-08-17,Product B,Clothing,63,4
2023-08-18,Product A,Electronics,39,6
2023-08-19,Product B,Books,77,9
2023-08-20,Product B,Electronics,45,5
2023-08-21,Product C,Books,49,18
2023-08-22,Product B,Clothing,19,2
2023-08-23,Product A,Electronics,83,19
2023-08-24,Product A,Electronics,51,2
2023-08-25,Product B,Electronics,33,15
2023-08-26,Product C,Books,13,18
2023-08-27,Product B,Clothing,56,8
2023-08-28,Product A,Electronics,60,12
2023-08-29,Product A,Books,13,15
2023-08-30,Product B,Electronics,41,17
2023-08-31,Product A,Electronics,19,2
2023-09-01,Product B,Electronics,20,18
2023-09-02,Product A,Electronics,37,13
2023-09-03,Product C,Books,55,15
2023-09-04,Product A,Clothing,81,1
2023-09-05,Product B,Clothing,49,3
2023-09-06,Product B,Electronics,71,15
2023-09-07,Product C,Books,95,19
2023-09-08,Product A,Clothing,54,12
2023-09-09,Product B,Clothing,44,10
2023-09-10,Product A,Electronics,44,15
2023-09-11,Product C,Electronics,98,1
2023-09-12,Product B,Books,43,13
2023-09-13,Product C,Clothing,15,10
2023-09-14,Product B,Electronics,46,19
2023-09-15,Product A,Books,10,5
2023-09-16,Product B,Books,85,8
2023-09-17,Product C,Books,44,4
2023-09-18,Product B,Clothing,79,17
2023-09-19,Product C,Clothing,63,13
2023-09-20,Product B,Clothing,90,6
2023-09-21,Product C,Books,72,14
2023-09-22,Product A,Books,18,17
2023-09-23,Product B,Electronics,71,14
2023-09-24,Product A,Electronics,11,19
2023-09-25,Product B,Clothing,91,18
2023-09-26,Product B,Clothing,45,8
2023-09-27,Product A,Electronics,50,18
2023-09-28,Product C,Clothing,46,15
2023-09-29,Product A,Electronics,58,4
2023-09-30,Product A,Electronics,35,11
2023-10-01,Product B,Electronics,77,11
2023-10-02,Product C,Books,45,2
2023-10-03,Product C,Clothing,40,17
2023-10-04,Product A,Books,39,11
2023-10-05,Product A,Clothing,43,19
2023-10-06,Product C,Books,28,17
2023-10-07,Product A,Clothing,27,3
2023-10-08,Product B,Clothing,94,7
2023-10-09,Product B,Electronics,12,10
2023-10-10,Product A,Books,79,3
2023-10-11,Product B,Books,22,13
2023-10-12,Product C,Clothing,54,10
2023-10-13,Product A,Books,76,5
2023-10-14,Product B,Clothing,95,5
2023-10-15,Product A,Clothing,49,10
2023-10-16,Product C,Electronics,49,11
2023-10-17,Product B,Clothing,85,13
2023-10-18,Product C,Books,32,9
2023-10-19,Product A,Electronics,40,2
2023-10-20,Product A,Clothing,27,6
2023-10-21,Product B,Electronics,80,8
2023-10-22,Product C,Electronics,81,1
2023-10-23,Product A,Clothing,28,2
2023-10-24,Product C,Books,53,4
2023-10-25,Product C,Clothing,93,19
2023-10-26,Product B,Clothing,59,19
2023-10-27,Product C,Clothing,51,9
2023-10-28,Product A,Clothing,56,19
2023-10-29,Product A,Clothing,31,8
2023-10-30,Product B,Books,83,11
2023-10-31,Product C,Electronics,99,19
2023-11-01,Product A,Books,83,4
2023-11-02,Product A,Clothing,38,13
2023-11-03,Product B,Electronics,91,14
2023-11-04,Product C,Electronics,68,1
2023-11-05,Product C,Electronics,10,11
2023-11-06,Product C,Books,96,4
2023-11-07,Product A,Books,73,7
2023-11-08,Product A,Books,26,4
2023-11-09,Product B,Clothing,46,7
2023-11-10,Product A,Books,34,3
2023-11-11,Product B,Books,73,19
2023-11-12,Product B,Books,77,19
2023-11-13,Product C,Electronics,61,7
2023-11-14,Product B,Electronics,18,12
2023-11-15,Product C,Clothing,66,1
2023-11-16,Product C,Electronics,97,5
2023-11-17,Product A,Clothing,42,14
2023-11-18,Product A,Electronics,29,10
2023-11-19,Product B,Clothing,82,3
2023-11-20,Product B,Clothing,81,2
2023-11-21,Product B,Electronics,97,13
2023-11-22,Product B,Electronics,23,16
2023-11-23,Product A,Books,68,2
2023-11-24,Product B,Books,91,13
2023-11-25,Product C,Clothing,65,6
2023-11-26,Product A,Clothing,74,7
2023-11-27,Product C,Clothing,85,2
2023-11-28,Product B,Electronics,46,11
2023-11-29,Product A,Electronics,35,7
2023-11-30,Product C,Books,42,7
2023-12-01,Product A,Electronics,52,7
2023-12-02,Product C,Clothing,24,7
2023-12-03,Product A,Books,96,12
2023-12-04,Product C,Electronics,38,19
2023-12-05,Product C,Clothing,30,19
2023-12-06,Product C,Electronics,92,19
2023-12-07,Product A,Electronics,78,3
2023-12-08,Product C,Electronics,32,13
2023-12-09,Product C,Clothing,93,10
2023-12-10,Product B,Clothing,17,9
2023-12-11,Product C,Electronics,82,6
2023-12-12,Product B,Clothing,71,12
2023-12-13,Product A,Electronics,23,2
2023-12-14,Product C,Books,15,12
2023-12-15,Product A,Clothing,10,16
2023-12-16,Product B,Electronics,18,13
2023-12-17,Product B,Electronics,89,16
2023-12-18,Product A,Electronics,89,13
2023-12-19,Product C,Books,63,19
2023-12-20,Product A,Clothing,21,14
2023-12-21,Product B,Electronics,14,13
2023-12-22,Product B,Electronics,49,10
2023-12-23,Product C,Electronics,55,7
2023-12-24,Product B,Clothing,36,5
2023-12-25,Product C,Books,84,17
2023-12-26,Product C,Books,62,9
2023-12-27,Product C,Electronics,59,6
2023-12-28,Product B,Electronics,61,16
2023-12-29,Product A,Clothing,28,6
2023-12-30,Product A,Electronics,44,6
2023-12-31,Product B,Books,61,18
